t [s],Step_Time(s),I [A],V [V]
8952.184053,41.08406748,0.412607908,3.207431793
8953.184053,42.0840721,0.412788361,3.207123995
8954.194073,43.0940876,0.412607908,3.207431793
8955.196033,44.0960532,0.412788361,3.207123995
8956.196143,45.09615868,0.825125515,3.136029005
8957.197353,46.09737092,0.825305939,3.134490013
8958.199273,47.09928802,0.825305939,3.133874655
8959.202333,48.10234845,0.825125515,3.133259058
8960.204533,49.10455426,0.825125515,3.132643461
8961.214383,50.11440461,0.825125515,3.132027864
8962.214423,51.11444542,0.825305939,3.131412506
8963.214463,52.11447775,0.825125515,3.131104708
8964.215533,53.11554794,0.825125515,3.130796909
8965.217593,54.11761171,0.825125515,3.130181313
8966.218753,55.1187739,0.825305939,3.129565716
8967.219683,56.11969742,0.824945033,3.129257917
8968.219763,57.1197798,-0.412246823,3.340696573
8969.229913,58.12993234,-0.412246823,3.344389677
8970.239943,59.13996093,-0.412246823,3.345928669
8971.249873,60.14989327,-0.412246823,3.347467422
8972.250963,61.15097963,-0.412427276,3.348083019
8973.255993,62.15601451,-0.412246823,3.349313974
8974.259143,63.15915771,-0.412246823,3.35023737
8975.269083,64.16910276,-0.412427276,3.351160765
8976.272243,65.17226597,0.000270769,3.28129673
8977.274193,66.1742154,0.000451223,3.280373335
8978.275293,67.17531023,0.000451223,3.280373335
8979.277313,68.17733396,0.000270769,3.280988932
8980.279453,69.1794701,0.000270769,3.280988932
8981.280383,70.18040671,0.000270769,3.28129673
8982.282543,71.18256672,0.000451223,3.28129673
8983.283483,72.18350294,0.000270769,3.281604528
8984.283533,73.1835476,0.0000903,3.281912327
8985.283563,74.18358263,0.000451223,3.281912327
8986.287643,75.18765704,0.000270769,3.281912327
8987.289683,76.1896981,0.000451223,3.282220125
8988.291733,77.19175224,0.000270769,3.282220125
8989.293803,78.19381793,0.000270769,3.282527924
8990.294963,79.19498128,0.000451223,3.282835484
8991.295833,80.19585398,0.000270769,3.282835484
8992.296933,81.19694727,0.412607908,3.212048292
